Family,Species
Apidae,Amegilla_chlorocyanea
Andrenidae,Ancylandrena_larreae
Andrenidae,Andrena_aliciae
Andrenidae,Andrena_amphibola
Andrenidae,Andrena_astragali
Andrenidae,Andrena_cerasifolii
Andrenidae,Andrena_helianthi
Andrenidae,Andrena_milwaukeensis
Andrenidae,Andrena_miserabilis
Andrenidae,Andrena_tridens
Andrenidae,Andrena_vicina
Megachilidae,Anthidium_emarginatum
Megachilidae,Anthidium_manicatum
Megachilidae,Anthidium_oblongatum
Megachilidae,Anthidium_palmarum
Apidae,Anthophora_abrupta
Apidae,Anthophora_californica
Apidae,Anthophora_peritomae
Apidae,Anthophora_urbana
Apidae,Anthophora_villosula
Apidae,Apis_mellifera
Halictidae,Augochlora_pura
Halictidae,Augochloropsis_metallica
Apidae,Bombus_californicus
Apidae,Bombus_caliginosus
Apidae,Bombus_fervidus
Apidae,Bombus_insularis
Apidae,Bombus_occidentalis
Apidae,Bombus_sonorus
Apidae,Bombus_terrestris
Apidae,Bombus_terricola
Apidae,Bombus_vancouverensis_nearcticus
Apidae,Bombus_vandykei
Andrenidae,Calliopsis_andreniformis
Apidae,Centris_inermis
Apidae,Centris_pallida
Apidae,Centris_rhodopus
Megachilidae,Coelioxys_galactiae
Megachilidae,Coelioxys_octodentatus
Megachilidae,Coelioxys_rufitarsis
Colletidae,Colletes_inaequalis
Colletidae,Colletes_simulans
Colletidae,Colletes_ultravalidus
Apidae,Diadasia_enavata
Megachilidae,Dianthidium_ulkei
Halictidae,Dieunomia_bolliana
Megachilidae,Dioxys_pacifica
Apidae,Epeolus_scutellaris
Apidae,Ericrocis_lata
Apidae,Eulaema_meriana
Apidae,Eulaema_nigrita
Colletidae,Eulonchopria_punctatissima
Apidae,Exaerete_frontalis
Apidae,Frieseomelitta_nigra
Apidae,Gaesischia_exul
Apidae,Habropoda_pallida
Megachilidae,Heriades_leavitti
Megachilidae,Hoplitis_anthocopoides
Colletidae,Hylaeus_ornatus
Colletidae,Hylaeus_volcanicus
Megachilidae,Lithurgopsis_echinocacti
Apidae,Martinapis_luteicornis
Megachilidae,Megachile_campanulae
Megachilidae,Megachile_frigida
Megachilidae,Megachile_inimica
Megachilidae,Megachile_latimanus
Megachilidae,Megachile_petulans
Megachilidae,Megachile_rugifrons
Andrenidae,Megandrena_enceliae
Andrenidae,Megandrena_mentzeliae
Apidae,Melissodes_druriellus
Apidae,Melissodes_trinodis
Andrenidae,Mesoxaea_nigerrima
Apidae,Nomada_cressoni
Apidae,Nomada_luteoloides
Apidae,Nomada_maculata
Apidae,Nomada_obliterata
Apidae,Nomada_vicina
Apidae,Nomada_vincta
Apidae,Oreopasites_vanduzeei
Megachilidae,Osmia_bruneri
Megachilidae,Osmia_cornifrons
Megachilidae,Osmia_georgica
Megachilidae,Osmia_lignaria_propinqua_CA
Megachilidae,Osmia_lignaria_propinqua_UT
Megachilidae,Osmia_lignaria_propinqua_WA
Megachilidae,Osmia_ribifloris
Megachilidae,Osmia_taurus
Megachilidae,Osmia_unca
Andrenidae,Panurginus_polytrichus
Andrenidae,Perdita_maritima
Andrenidae,Protandrena_mexicanorum
Megachilidae,Protosmia_rubifloris
Andrenidae,Protoxaea_gloriosa
Megachilidae,Stelis_foederalis
Megachilidae,Stelis_lateralis
Apidae,Svastra_machaerantherae
Apidae,Svastra_obliqua
Apidae,Svastra_petulca
Apidae,Townsendiella_pulchra
Megachilidae,Trachusa_larreae
Megachilidae,Trachusa_mitchelli
Apidae,Triepeolus_kathrynae
Apidae,Triepeolus_pectoralis
Apidae,Trigona_fulviventris
Apidae,Xenoglossa_angustior
Apidae,Xylocopa_micans
Apidae,Xylocopa_micheneri
Apidae,Xylocopa_sonorina
Apidae,Xylocopa_strandi
Apidae,Zacosmia_maculata
